Drug,lncRNA
3 3' 4 4'-tetrachlorobiphenyl,CTC-308K20.1
3 3' 4 4'-tetrachlorobiphenyl,CTD-2207A17.1
3 3' 4 4'-tetrachlorobiphenyl,ATP6V0E2-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-497E19.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00487
3 3' 4 4'-tetrachlorobiphenyl,RP11-503N18.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-834C11.8
3 3' 4 4'-tetrachlorobiphenyl,RP11-24P14.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-414H17.5
3 3' 4 4'-tetrachlorobiphenyl,RP5-944M2.3
3 3' 4 4'-tetrachlorobiphenyl,ERVH48-1
3 3' 4 4'-tetrachlorobiphenyl,CTD-2116F7.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00887
3 3' 4 4'-tetrachlorobiphenyl,RP11-699L21.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00488
3 3' 4 4'-tetrachlorobiphenyl,CTD-2251F13.1
3 3' 4 4'-tetrachlorobiphenyl,AC104654.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-742B18.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-67L3.4
3 3' 4 4'-tetrachlorobiphenyl,RP11-669N7.2
3 3' 4 4'-tetrachlorobiphenyl,LINC00472
3 3' 4 4'-tetrachlorobiphenyl,RP11-26J3.1
3 3' 4 4'-tetrachlorobiphenyl,TLR8-AS1
3 3' 4 4'-tetrachlorobiphenyl,LINC00598
3 3' 4 4'-tetrachlorobiphenyl,CHRM3-AS2
3 3' 4 4'-tetrachlorobiphenyl,LINC00189
3 3' 4 4'-tetrachlorobiphenyl,LINC01139
3 3' 4 4'-tetrachlorobiphenyl,KIRREL3-AS3
3 3' 4 4'-tetrachlorobiphenyl,AC079354.3
3 3' 4 4'-tetrachlorobiphenyl,RP5-1172A22.1
3 3' 4 4'-tetrachlorobiphenyl,RP5-858B6.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-112L7.1
3 3' 4 4'-tetrachlorobiphenyl,RP1-171K16.5
3 3' 4 4'-tetrachlorobiphenyl,AC004041.2
3 3' 4 4'-tetrachlorobiphenyl,RP11-15M15.1
3 3' 4 4'-tetrachlorobiphenyl,AC007365.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00630
3 3' 4 4'-tetrachlorobiphenyl,SLC26A4-AS1
3 3' 4 4'-tetrachlorobiphenyl,AY269186.1
3 3' 4 4'-tetrachlorobiphenyl,AC002463.3
3 3' 4 4'-tetrachlorobiphenyl,AC091633.3
3 3' 4 4'-tetrachlorobiphenyl,AC004947.2
3 3' 4 4'-tetrachlorobiphenyl,RP11-554I8.2
3 3' 4 4'-tetrachlorobiphenyl,IL10RB-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-465B22.5
3 3' 4 4'-tetrachlorobiphenyl,RP11-135J2.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-669M16.1
3 3' 4 4'-tetrachlorobiphenyl,OSER1-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-24J23.2
3 3' 4 4'-tetrachlorobiphenyl,AC009948.5
3 3' 4 4'-tetrachlorobiphenyl,RP11-165H23.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-130F10.1
3 3' 4 4'-tetrachlorobiphenyl,AC005022.1
3 3' 4 4'-tetrachlorobiphenyl,ADAM6
3 3' 4 4'-tetrachlorobiphenyl,LINC00691
3 3' 4 4'-tetrachlorobiphenyl,RP11-84D1.2
3 3' 4 4'-tetrachlorobiphenyl,CTD-2350J17.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-151E14.1
3 3' 4 4'-tetrachlorobiphenyl,AP001630.5
3 3' 4 4'-tetrachlorobiphenyl,GS1-18A18.1
3 3' 4 4'-tetrachlorobiphenyl,LINC01142
3 3' 4 4'-tetrachlorobiphenyl,CTD-3179P9.2
3 3' 4 4'-tetrachlorobiphenyl,CHL1-AS2
3 3' 4 4'-tetrachlorobiphenyl,RP11-290F20.3
3 3' 4 4'-tetrachlorobiphenyl,AC007405.4
3 3' 4 4'-tetrachlorobiphenyl,RP11-48F14.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-495P10.3
3 3' 4 4'-tetrachlorobiphenyl,LINC01087
3 3' 4 4'-tetrachlorobiphenyl,RP4-564F22.5
3 3' 4 4'-tetrachlorobiphenyl,RP11-222A5.1
3 3' 4 4'-tetrachlorobiphenyl,TEX26-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP5-933E2.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00853
3 3' 4 4'-tetrachlorobiphenyl,TMEM72-AS1
3 3' 4 4'-tetrachlorobiphenyl,AC079117.1
3 3' 4 4'-tetrachlorobiphenyl,PYY2
3 3' 4 4'-tetrachlorobiphenyl,RP1-90J20.8
3 3' 4 4'-tetrachlorobiphenyl,RP11-262H14.3
3 3' 4 4'-tetrachlorobiphenyl,AC073283.4
3 3' 4 4'-tetrachlorobiphenyl,ZBED3-AS1
3 3' 4 4'-tetrachlorobiphenyl,CTB-107G13.1
3 3' 4 4'-tetrachlorobiphenyl,RP5-1086K13.1
3 3' 4 4'-tetrachlorobiphenyl,GAS5
3 3' 4 4'-tetrachlorobiphenyl,PGM5-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-383G10.5
3 3' 4 4'-tetrachlorobiphenyl,RP11-453E2.2
3 3' 4 4'-tetrachlorobiphenyl,AL450226.2
3 3' 4 4'-tetrachlorobiphenyl,CTD-2228K2.7
3 3' 4 4'-tetrachlorobiphenyl,OSTM1-AS1
3 3' 4 4'-tetrachlorobiphenyl,LINC00705
3 3' 4 4'-tetrachlorobiphenyl,LINC00113
3 3' 4 4'-tetrachlorobiphenyl,XXbac-B476C20.9
3 3' 4 4'-tetrachlorobiphenyl,SFTA1P
3 3' 4 4'-tetrachlorobiphenyl,RP1-257A15.1
3 3' 4 4'-tetrachlorobiphenyl,MPRIP-AS1
3 3' 4 4'-tetrachlorobiphenyl,RFPL1S
3 3' 4 4'-tetrachlorobiphenyl,RP11-760D2.1
3 3' 4 4'-tetrachlorobiphenyl,LINC01107
3 3' 4 4'-tetrachlorobiphenyl,AC002064.5
3 3' 4 4'-tetrachlorobiphenyl,RP11-396C23.2
3 3' 4 4'-tetrachlorobiphenyl,CTA-280A3__B.2
3 3' 4 4'-tetrachlorobiphenyl,AC018799.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-341A22.2
3 3' 4 4'-tetrachlorobiphenyl,CTD-2170G1.2
3 3' 4 4'-tetrachlorobiphenyl,AC013733.4
3 3' 4 4'-tetrachlorobiphenyl,DOCK4-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-550H2.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-70C1.1
3 3' 4 4'-tetrachlorobiphenyl,DNM1P51
3 3' 4 4'-tetrachlorobiphenyl,RP11-75C9.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-470L19.2
3 3' 4 4'-tetrachlorobiphenyl,MYLK-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-513G11.4
3 3' 4 4'-tetrachlorobiphenyl,AC087501.1
3 3' 4 4'-tetrachlorobiphenyl,JARID2-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-354I10.1
3 3' 4 4'-tetrachlorobiphenyl,GNAS-AS1
3 3' 4 4'-tetrachlorobiphenyl,AC005162.4
3 3' 4 4'-tetrachlorobiphenyl,LINC00298
3 3' 4 4'-tetrachlorobiphenyl,SATB2-AS1
3 3' 4 4'-tetrachlorobiphenyl,LINC00645
3 3' 4 4'-tetrachlorobiphenyl,AC007349.5
3 3' 4 4'-tetrachlorobiphenyl,ARHGAP26-AS1
3 3' 4 4'-tetrachlorobiphenyl,TMEM191A
3 3' 4 4'-tetrachlorobiphenyl,RP11-157P1.4
3 3' 4 4'-tetrachlorobiphenyl,RP11-217B7.2
3 3' 4 4'-tetrachlorobiphenyl,LINC00323
3 3' 4 4'-tetrachlorobiphenyl,LINC00606
3 3' 4 4'-tetrachlorobiphenyl,RP11-10C8.2
3 3' 4 4'-tetrachlorobiphenyl,SPANXA2-OT1
3 3' 4 4'-tetrachlorobiphenyl,hsa-mir-7515
3 3' 4 4'-tetrachlorobiphenyl,DIAPH2-AS1
3 3' 4 4'-tetrachlorobiphenyl,AC092155.4
3 3' 4 4'-tetrachlorobiphenyl,RP11-128M1.1
3 3' 4 4'-tetrachlorobiphenyl,AP006216.10
3 3' 4 4'-tetrachlorobiphenyl,AP001189.4
3 3' 4 4'-tetrachlorobiphenyl,AC007966.1
3 3' 4 4'-tetrachlorobiphenyl,PSMD5-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-388C12.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00348
3 3' 4 4'-tetrachlorobiphenyl,CTD-2284J15.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00454
3 3' 4 4'-tetrachlorobiphenyl,RP11-443A13.5
3 3' 4 4'-tetrachlorobiphenyl,MAGI2-AS2
3 3' 4 4'-tetrachlorobiphenyl,AP000235.2
3 3' 4 4'-tetrachlorobiphenyl,LINC00658
3 3' 4 4'-tetrachlorobiphenyl,PRKG1-AS1
3 3' 4 4'-tetrachlorobiphenyl,AL592494.5
3 3' 4 4'-tetrachlorobiphenyl,LBX1-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-54O7.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-157D23.1
3 3' 4 4'-tetrachlorobiphenyl,LINC01153
3 3' 4 4'-tetrachlorobiphenyl,AC092535.3
3 3' 4 4'-tetrachlorobiphenyl,MIR663A
3 3' 4 4'-tetrachlorobiphenyl,CTD-2184C24.2
3 3' 4 4'-tetrachlorobiphenyl,RP11-445L13__B.3
3 3' 4 4'-tetrachlorobiphenyl,AC087393.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00845
3 3' 4 4'-tetrachlorobiphenyl,SMIM2-AS1
3 3' 4 4'-tetrachlorobiphenyl,IGFBP7-AS1
3 3' 4 4'-tetrachlorobiphenyl,PCGEM1
3 3' 4 4'-tetrachlorobiphenyl,LINC00310
3 3' 4 4'-tetrachlorobiphenyl,RP11-169D4.1
3 3' 4 4'-tetrachlorobiphenyl,CCDC148-AS1
3 3' 4 4'-tetrachlorobiphenyl,HAND2-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-406A20.4
3 3' 4 4'-tetrachlorobiphenyl,AC147651.4
3 3' 4 4'-tetrachlorobiphenyl,RP1-28O10.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-315O6.1
3 3' 4 4'-tetrachlorobiphenyl,RP4-753D4.2
3 3' 4 4'-tetrachlorobiphenyl,SOX21-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-179A16.1
3 3' 4 4'-tetrachlorobiphenyl,CLYBL-AS2
3 3' 4 4'-tetrachlorobiphenyl,LINC00355
3 3' 4 4'-tetrachlorobiphenyl,AC004906.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-102C16.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-439E19.3
3 3' 4 4'-tetrachlorobiphenyl,RMST
3 3' 4 4'-tetrachlorobiphenyl,RP11-350G8.5
3 3' 4 4'-tetrachlorobiphenyl,RP11-43N5.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-383C5.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-12L8.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00507
3 3' 4 4'-tetrachlorobiphenyl,AC073128.10
3 3' 4 4'-tetrachlorobiphenyl,AC105339.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-771K4.1
3 3' 4 4'-tetrachlorobiphenyl,AL022341.3
3 3' 4 4'-tetrachlorobiphenyl,AP000251.3
3 3' 4 4'-tetrachlorobiphenyl,HCG11
3 3' 4 4'-tetrachlorobiphenyl,RP11-132M7.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-251M1.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00687
3 3' 4 4'-tetrachlorobiphenyl,RP11-392O17.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-550P17.5
3 3' 4 4'-tetrachlorobiphenyl,KCNQ1DN
3 3' 4 4'-tetrachlorobiphenyl,HOTAIR
3 3' 4 4'-tetrachlorobiphenyl,RP11-7O11.3
3 3' 4 4'-tetrachlorobiphenyl,FLG-AS1
3 3' 4 4'-tetrachlorobiphenyl,LINC00954
3 3' 4 4'-tetrachlorobiphenyl,RP11-609L23.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-157P1.5
3 3' 4 4'-tetrachlorobiphenyl,AC104653.1
3 3' 4 4'-tetrachlorobiphenyl,RP4-764O22.2
3 3' 4 4'-tetrachlorobiphenyl,MLK7-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-362A1.1
3 3' 4 4'-tetrachlorobiphenyl,AC114752.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-245J24.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00226
3 3' 4 4'-tetrachlorobiphenyl,RP11-406H4.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-260O18.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-339A11.2
3 3' 4 4'-tetrachlorobiphenyl,CCDC26
3 3' 4 4'-tetrachlorobiphenyl,EPHA1-AS1
3 3' 4 4'-tetrachlorobiphenyl,LINC00382
3 3' 4 4'-tetrachlorobiphenyl,LINC00879
3 3' 4 4'-tetrachlorobiphenyl,LINC00242
3 3' 4 4'-tetrachlorobiphenyl,TTTY10
3 3' 4 4'-tetrachlorobiphenyl,IGSF11-AS1
3 3' 4 4'-tetrachlorobiphenyl,LINC00710
3 3' 4 4'-tetrachlorobiphenyl,LINC00459
3 3' 4 4'-tetrachlorobiphenyl,MCHR2-AS1
3 3' 4 4'-tetrachlorobiphenyl,HYI-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-460N16.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-347D21.4
3 3' 4 4'-tetrachlorobiphenyl,AF064858.7
3 3' 4 4'-tetrachlorobiphenyl,AC093627.10
3 3' 4 4'-tetrachlorobiphenyl,RP11-245M24.1
3 3' 4 4'-tetrachlorobiphenyl,RP5-827L5.1
3 3' 4 4'-tetrachlorobiphenyl,PRAC2
3 3' 4 4'-tetrachlorobiphenyl,HOXA11-AS
3 3' 4 4'-tetrachlorobiphenyl,RP11-639B1.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00877
3 3' 4 4'-tetrachlorobiphenyl,RP11-451G4.1
3 3' 4 4'-tetrachlorobiphenyl,EMX2OS
3 3' 4 4'-tetrachlorobiphenyl,AC064852.4
3 3' 4 4'-tetrachlorobiphenyl,PTPRG-AS1
3 3' 4 4'-tetrachlorobiphenyl,HHIP-AS1
3 3' 4 4'-tetrachlorobiphenyl,AC104695.3
3 3' 4 4'-tetrachlorobiphenyl,TOB1-AS1
3 3' 4 4'-tetrachlorobiphenyl,CTC-340A15.2
3 3' 4 4'-tetrachlorobiphenyl,RP4-613B23.1
